随手记导出文件(headers:v5; iPhone; MyMoneyPro; 12.82.0; 20210422)
交易类型,日期,类别,子类别,项目,账户,账户币种,金额,成员,商家,备注,关联Id
支出,2021-04-21 14:46:58,行车交通,加油,,港币,HKD,400.00,,,,
支出,2021-04-21 13:49:01,食品酒水,中餐,,港币,HKD,15.00,老公,公司食堂,,
支出,2021-04-20 14:16:26,食品酒水,中餐,,港币,HKD,10.00,,,饮料,
支出,2021-04-20 08:53:40,食品酒水,中餐,,港币,HKD,15.00,老公,公司食堂,,
支出,2021-04-19 19:50:03,人情费用,请客,,人民币,CNY,190.00,,,羊蝎子,
支出,2021-04-19 17:25:16,购物消费,珠宝首饰,,港币,HKD,10308.00,,,,
支出,2021-04-19 14:29:37,居家生活,快递费,,人民币,CNY,80.00,,,,
支出,2021-04-19 12:59:07,食品酒水,中餐,,港币,HKD,15.00,老公,公司食堂,,
支出,2021-04-19 00:28:47,食品酒水,买菜,,人民币,CNY,217.00,,,,
支出,2021-04-18 18:06:35,食品酒水,下午茶,,港币,HKD,116.00,,,,
支出,2021-04-18 18:06:26,食品酒水,买菜,,港币,HKD,182.00,,,,
支出,2021-04-18 18:06:11,食品酒水,买菜,,港币,HKD,127.00,,,,
支出,2021-04-17 22:51:21,食品酒水,饮料酒水,,港币,HKD,110.00,,,,
支出,2021-04-17 22:51:12,购物消费,衣裤鞋帽,,人民币,CNY,98.00,,,,
支出,2021-04-17 12:57:19,行车交通,公共交通,,港币,HKD,39.20,,,,
支出,2021-04-17 12:30:41,食品酒水,中餐,,港币,HKD,145.00,,,,
支出,2021-04-17 09:38:24,食品酒水,饮料酒水,,港币,HKD,7.50,,,,
支出,2021-04-17 09:38:06,购物消费,家具家电,,人民币,CNY,17.00,,,,
支出,2021-04-16 00:23:54,购物消费,家具家电,,人民币,CNY,96.00,,,,
支出,2021-04-16 00:22:49,购物消费,衣裤鞋帽,,人民币,CNY,162.00,老公,,,
支出,2021-04-16 00:22:16,购物消费,汽车用品,,人民币,CNY,270.00,,,,
支出,2021-04-14 19:43:19,食品酒水,晚餐,,港币,HKD,132.00,,,,
支出,2021-04-14 19:43:12,食品酒水,饮料酒水,,港币,HKD,52.40,,,,
支出,2021-04-14 10:46:11,行车交通,加油,,港币,HKD,1021.00,,,,
支出,2021-04-13 15:48:06,食品酒水,中餐,,港币,HKD,75.00,,,,
支出,2021-04-12 21:52:08,行车交通,加油,,港币,HKD,400.00,,,,
支出,2021-04-12 10:11:08,食品酒水,早餐,,港币,HKD,5.00,,,买了杯冻柠茶,
支出,2021-04-11 22:50:32,人情费用,红包,,港币,HKD,1000.00,,,danny仇,
支出,2021-04-11 22:13:45,食品酒水,买菜,,人民币,CNY,117.00,,,包子,
支出,2021-04-11 19:34:08,食品酒水,下午茶,,港币,HKD,94.00,,,,
支出,2021-04-11 19:34:03,食品酒水,买菜,,港币,HKD,192.00,,,,
支出,2021-04-11 19:33:59,食品酒水,买菜,,港币,HKD,32.00,,,,
支出,2021-04-11 14:05:07,购物消费,超市购物,,人民币,CNY,255.00,,,,
支出,2021-04-10 22:52:41,购物消费,衣裤鞋帽,,人民币,CNY,367.00,老公,,,
支出,2021-04-10 22:47:07,休闲娱乐,聚会,,港币,HKD,208.00,,,,
