类型,股票代号,股票名称,购买价格,数量,状态,成交数量,日期
买入,01810.HK,小米集团-W,22.6,2000.0,全部成交,"2,000",2021-03-08
买入,01810.HK,小米集团-W,22.8,3400.0,全部成交,"3,400",2021-03-08
卖出,01810.HK,小米集团-W,23.1,3200.0,全部成交,"3,200",2021-03-08
买入,01810.HK,小米集团-W,23.0,3200.0,全部成交,"3,200",2021-03-08
卖出,01810.HK,小米集团-W,23.8,400.0,全部成交,400,2021-03-08
买入,01810.HK,小米集团-W,23.4,400.0,全部成交,400,2021-03-08
买入,01810.HK,小米集团-W,24.6,2000.0,全部成交,"2,000",2021-03-05
卖出,01810.HK,小米集团-W,24.6,1800.0,全部成交,"1,800",2021-03-05
买入,01810.HK,小米集团-W,24.5,1800.0,全部成交,"1,800",2021-03-05
卖出,01810.HK,小米集团-W,24.1,2400.0,全部成交,"2,400",2021-03-05
买入,01810.HK,小米集团-W,23.9,2400.0,全部成交,"2,400",2021-03-05
卖出,01810.HK,小米集团-W,24.05,2400.0,全部成交,"2,400",2021-03-05
卖出,01810.HK,小米集团-W,24.05,600.0,全部成交,600,2021-03-05
卖出,01810.HK,小米集团-W,24.4,1800.0,全部成交,"1,800",2021-03-05
买入,01810.HK,小米集团-W,24.2,600.0,全部成交,600,2021-03-05
卖出,01810.HK,小米集团-W,24.5,1000.0,全部成交,"1,000",2021-03-05
买入,01810.HK,小米集团-W,24.25,800.0,全部成交,800,2021-03-05
买入,01810.HK,小米集团-W,24.15,400.0,全部成交,400,2021-03-05
买入,01810.HK,小米集团-W,24.35,400.0,全部成交,400,2021-03-05
买入,01810.HK,小米集团-W,23.9,600.0,全部成交,600,2021-03-05
买入,01810.HK,小米集团-W,23.85,600.0,全部成交,600,2021-03-05
卖出,01810.HK,小米集团-W,25.55,1600.0,全部成交,"1,600",2021-03-04
买入,01810.HK,小米集团-W,25.4,1600.0,全部成交,"1,600",2021-03-04
卖出,01810.HK,小米集团-W,25.5,6800.0,全部成交,"6,800",2021-03-04
买入,01810.HK,小米集团-W,25.4,6800.0,全部成交,"6,800",2021-03-04
卖出,01810.HK,小米集团-W,25.5,6000.0,全部成交,"6,000",2021-03-04
买入,01810.HK,小米集团-W,25.45,8400.0,全部成交,"8,400",2021-03-04
卖出,01810.HK,小米集团-W,25.5,2400.0,全部成交,"2,400",2021-03-04
卖出,01810.HK,小米集团-W,25.5,6000.0,全部成交,"6,000",2021-03-04
买入,01810.HK,小米集团-W,25.4,6000.0,全部成交,"6,000",2021-03-04
卖出,01810.HK,小米集团-W,25.5,6000.0,全部成交,"6,000",2021-03-04
买入,01810.HK,小米集团-W,25.45,6000.0,全部成交,"6,000",2021-03-04
买入,01810.HK,小米集团-W,26.5,2000.0,全部成交,"2,000",2021-03-03
买入,01810.HK,小米集团-W,26.35,400.0,全部成交,400,2021-03-03
卖出,01810.HK,小米集团-W,26.8,2000.0,全部成交,"2,000",2021-03-03
买入,01810.HK,小米集团-W,26.2,2000.0,全部成交,"2,000",2021-03-02
卖出,01810.HK,小米集团-W,26.6,1400.0,全部成交,"1,400",2021-03-02
买入,01810.HK,小米集团-W,25.8,1200.0,全部成交,"1,200",2021-03-01
卖出,01810.HK,小米集团-W,25.9,1200.0,全部成交,"1,200",2021-03-01
买入,01810.HK,小米集团-W,26.95,400.0,全部成交,400,2021-02-24
卖出,01810.HK,小米集团-W,28.35,4000.0,全部成交,"4,000",2021-02-23
买入,01810.HK,小米集团-W,28.05,4000.0,全部成交,"4,000",2021-02-23
卖出,01810.HK,小米集团-W,28.5,1600.0,全部成交,"1,600",2021-02-23
卖出,01810.HK,小米集团-W,28.4,2800.0,全部成交,"2,800",2021-02-23
买入,01810.HK,小米集团-W,30.4,3400.0,全部成交,"3,400",2021-02-22
卖出,01810.HK,小米集团-W,29.8,2400.0,全部成交,"2,400",2021-02-22
卖出,01810.HK,小米集团-W,30.45,600.0,全部成交,600,2021-02-22
卖出,01810.HK,小米集团-W,31.25,1000.0,全部成交,"1,000",2021-02-19
卖出,01810.HK,小米集团-W,31.5,600.0,全部成交,600,2021-02-19
卖出,01810.HK,小米集团-W,30.8,1000.0,全部成交,"1,000",2021-02-19
买入,01810.HK,小米集团-W,29.85,3000.0,全部成交,"3,000",2021-02-19
买入,01810.HK,小米集团-W,27.15,800.0,全部成交,800,2021-02-09
买入,01810.HK,小米集团-W,27.7,800.0,全部成交,800,2021-02-04
买入,01810.HK,小米集团-W,29.7,400.0,全部成交,400,2021-01-22
买入,01810.HK,小米集团-W,31.7,800.0,全部成交,800,2021-01-21
卖出,01810.HK,小米集团-W,32.0,1200.0,全部成交,"1,200",2021-01-20
卖出,01810.HK,小米集团-W,32.05,200.0,全部成交,200,2021-01-20
买入,01810.HK,小米集团-W,31.5,1200.0,全部成交,"1,200",2021-01-20
卖出,01810.HK,小米集团-W,31.45,600.0,全部成交,600,2021-01-19
买入,01810.HK,小米集团-W,29.6,1200.0,全部成交,"1,200",2021-01-15
买入,01810.HK,小米集团-W,32.5,200.0,全部成交,200,2021-01-14
买入,01810.HK,小米集团-W,31.9,200.0,全部成交,200,2021-01-07
买入,01810.HK,小米集团-W,33.4,200.0,全部成交,200,2021-01-06
买入,01810.HK,小米集团-W,33.8,400.0,全部成交,400,2021-01-04
买入,01810.HK,小米集团-W,32.75,400.0,全部成交,400,2020-12-28
卖出,01810.HK,小米集团-W,29.0,600.0,全部成交,600,2020-12-14
买入,01810.HK,小米集团-W,26.4,600.0,全部成交,600,2020-12-08
卖出,01810.HK,小米集团-W,26.45,800.0,全部成交,800,2020-12-08
买入,01810.HK,小米集团-W,25.45,800.0,全部成交,800,2020-12-08
卖出,01810.HK,小米集团-W,24.25,800.0,全部成交,800,2020-12-02
买入,01810.HK,小米集团-W,23.9,800.0,全部成交,800,2020-12-02
卖出,01810.HK,小米集团-W,26.45,400.0,全部成交,400,2020-11-30
卖出,01810.HK,小米集团-W,26.5,800.0,全部成交,800,2020-11-30
买入,01810.HK,小米集团-W,26.0,200.0,全部成交,200,2020-11-27
卖出,01810.HK,小米集团-W,26.8,600.0,全部成交,600,2020-11-24
买入,01810.HK,小米集团-W,26.25,1400.0,全部成交,"1,400",2020-11-23
卖出,01810.HK,小米集团-W,25.95,400.0,全部成交,400,2020-11-20
卖出,01810.HK,小米集团-W,25.1,400.0,全部成交,400,2020-11-19
买入,01810.HK,小米集团-W,25.7,400.0,全部成交,400,2020-11-09
买入,01810.HK,小米集团-W,23.9,800.0,全部成交,800,2020-11-05
卖出,01810.HK,小米集团-W,24.3,800.0,全部成交,800,2020-11-04
卖出,01810.HK,小米集团-W,22.85,600.0,全部成交,600,2020-11-04
卖出,01810.HK,小米集团-W,22.55,1800.0,全部成交,"1,800",2020-11-03
买入,01810.HK,小米集团-W,22.65,800.0,全部成交,800,2020-11-03
买入,01810.HK,小米集团-W,21.7,1000.0,全部成交,"1,000",2020-11-02
买入,01810.HK,小米集团-W,22.3,400.0,全部成交,400,2020-10-20
卖出,01810.HK,小米集团-W,23.3,1000.0,全部成交,"1,000",2020-10-16
卖出,01810.HK,小米集团-W,22.2,400.0,全部成交,400,2020-10-12
买入,01810.HK,小米集团-W,20.55,400.0,全部成交,400,2020-10-08
买入,01810.HK,小米集团-W,21.3,600.0,全部成交,600,2020-10-06
买入,01810.HK,小米集团-W,20.15,400.0,全部成交,400,2020-09-28
买入,01810.HK,小米集团-W,19.98,200.0,全部成交,200,2020-09-24
买入,01810.HK,小米集团-W,20.95,200.0,全部成交,200,2020-09-21
买入,01810.HK,小米集团-W,21.45,200.0,全部成交,200,2020-09-17
买入,01810.HK,小米集团-W,22.4,400.0,全部成交,400,2020-09-16
卖出,01810.HK,小米集团-W,22.6,200.0,全部成交,200,2020-09-10
买入,01810.HK,小米集团-W,23.05,200.0,全部成交,200,2020-09-10
卖出,01810.HK,小米集团-W,22.0,2200.0,全部成交,"2,200",2020-09-03
买入,01810.HK,小米集团-W,24.9,200.0,全部成交,200,2020-09-03
卖出,01810.HK,小米集团-W,24.9,400.0,全部成交,400,2020-09-02
卖出,01810.HK,小米集团-W,24.75,600.0,全部成交,600,2020-09-02
