transacation_type,name_code,name,buy_price,订单数量,交易状态,amount,t_date,note,sell_price,expect_price
卖出,01810.HK,小米集团-W,22.50,"4,000",已撤单,0,2021-03-08 15:33:46,限价单(增强),当日有效,允许
卖出,01810.HK,小米集团-W,22.70,"2,000",已撤单,0,2021-03-08 15:27:59,限价单(增强),当日有效,允许
买入,01810.HK,小米集团-W,21.90,600,已撤单,0,2021-03-08 14:22:51,限价单(增强),当日有效,允许
卖出,01810.HK,小米集团-W,22.70,"2,000",已撤单,0,2021-03-08 13:57:30,限价单(增强),当日有效,允许
买入,01810.HK,小米集团-W,22.60,"2,000",全部成交,"2,000",2021-03-08 13:56:54,,,
卖出,01810.HK,小米集团-W,22.90,"3,400",已撤单,0,2021-03-08 13:26:27,限价单(增强),当日有效,允许
买入,01810.HK,小米集团-W,22.80,"3,400",全部成交,"3,400",2021-03-08 11:47:33,,,
卖出,01810.HK,小米集团-W,23.10,"3,200",全部 成交,"3,200",2021-03-08 11:23:02,,,
卖出,01810.HK,小米集团-W,23.30,"2,000",已撤单,0,2021-03-08 11:06:40,限价单(增强),当日有效,允许
买入,01810.HK,小米集团-W,23.00,"3,200",全部成交,"3,200",2021-03-08 11:05:47,,,
买入,01810.HK,小米集团-W,22.95,400,已撤单,0,2021-03-08 10:38:05,限价单(增强),当日有效,允许
买入,01810.HK,小米集团-W,22.95,600,已撤单,0,2021-03-08 09:56:21,限价单(增强),当日有效,允许
卖出,01810.HK,小米集团-W,23.80,400,全部成交,400,2021-03-08 09:40:06,,,
买入,01810.HK,小米集团-W,23.80,"1,200",已撤单,0,2021-03-08 09:31:26,限价单(增强),当日有效,允许
买入,01810.HK,小米集团-W,23.40,400,全部成交,400,2021-03-08 09:02:37,,,
买入,01810.HK,小米集团-W,24.60,"2,000",全部成交,"2,000",2021-03-05 15:07:17,,,
买入,01810.HK,小米集团-W,24.30,"1,800",失效,0,2021-03-05 15:06:31,限价单(增强),当日有效,允许
买入,01810.HK,小米集团-W,24.00,"2,400",已撤单,0,2021-03-05 14:04:14,限价单(增强),当日有效,允许
买入,01810.HK,小米集团-W,24.35,"7,800",已撤单,0,2021-03-05 11:56:42,限价单(增强),当日有效,允许
买入,01810.HK,小米集团-W,24.35,"2,200",已撤单,0,2021-03-05 11:35:17,限价单(增强),当日有效,允许
买入,01810.HK,小米集团-W,23.95,"2,400",已撤单,0,2021-03-05 11:29:51,限价单(增强),当日有效,允许
买入,01810.HK,小米集团-W,24.30,"4,600",已撤单,0,2021-03-05 11:22:49,限价单(增强),当日有效,允许
卖出,01810.HK,小米集团-W,24.60,"1,800",全部成交,"1,800",2021-03-05 11:17:56,,,
买入,01810.HK,小米集团-W,24.50,"1,800",全部成交,"1,800",2021-03-05 11:14:51,,,
买入,01810.HK,小米集团-W,24.35,"4,600",已撤单,0,2021-03-05 11:12:55,限价单(增强),当日有效,允许
买入,01810.HK,小米集团-W,24.00,"2,400",已撤单,0,2021-03-05 10:39:12,限价单(增强),当日有效,允许
卖出,01810.HK,小米集团-W,24.10,"2,400",全部成交,"2,400",2021-03-05 10:36:32,,,
买入,01810.HK,小米集团-W,23.85,"1,400",已撤单,0,2021-03-05 10:35:41,限价单(增强),当日有效,允许
买入,01810.HK,小米集团-W,23.90,"2,400",全部成交,"2,400",2021-03-05 10:28:22,,,
卖出,01810.HK,小米集团-W,24.05,"2,400",全部成交,"2,400",2021-03-05 10:27:20,,,
买入,01810.HK,小米集团-W,23.80,"1,400",已撤单,0,2021-03-05 10:04:46,限价单(增强),当日有效,允许
卖出,01810.HK,小米集团-W,24.05,600,全部成交,600,2021-03-05 10:04:07,,,
卖出,01810.HK,小米集团-W,24.40,"1,800",全部成交,"1,800",2021-03-05 09:54:01,,,
买入,01810.HK,小米集团-W,24.20,600,全部成交,600,2021-03-05 09:50:01,,,
卖出,01810.HK,小米集团-W,24.50,"1,000",全部成交,"1,000",2021-03-05 09:46:35,,,
买入,01810.HK,小米集团-W,24.25,800,全部成交,800,2021-03-05 09:44:31,,,
买入,01810.HK,小米集团-W,24.15,400,全部成交,400,2021-03-05 09:43:40,,,
买入,01810.HK,小米集团-W,24.35,400,全部成交,400,2021-03-05 09:40:36,,,
买入,01810.HK,小米集团-W,23.90,600,全部成交,600,2021-03-05 09:32:21,,,
买入,01810.HK,小米集团-W,23.85,600,全部成交,600,2021-03-05 09:32:07,,,
买入,01810.HK,小米集团-W,25.40,"1,600",已撤单,0,2021-03-04 15:11:03,限价单(增强),当日有效,允许
卖出,01810.HK,小米集团-W,25.55,"1,600",全部成交,"1,600",2021-03-04 14:39:56,,,
买入,01810.HK,小米集团-W,25.35,"1,600",已撤单,0,2021-03-04 14:39:19,限价单(增强),当日有效,允许
买入,01810.HK,小米集团-W,25.40,"1,600",全部成交,"1,600",2021-03-04 14:33:36,,,
卖出,01810.HK,小米集团-W,25.70,"2,400",已撤单,0,2021-03-04 14:15:12,限价单(增强),当日有效,允许
买入,01810.HK,小米集团-W,25.25,"6,000",已撤单,0,2021-03-04 14:10:54,限价单(增强),当日有效,允许
卖出,01810.HK,小米集团-W,25.50,"6,800",全部成交,"6,800",2021-03-04 13:16:45,,,
买入,01810.HK,小米集团-W,25.40,"6,800",全部成交,"6,800",2021-03-04 13:13:28,,,
卖出,01810.HK,小米集团-W,25.50,"6,000",全部成交,"6,000",2021-03-04 13:09:11,,,
买入,01810.HK,小米集团-W,25.45,"8,400",全部成交,"8,400",2021-03-04 13:05:01,,,
买入,01810.HK,小米集团-W,25.45,"8,400",已撤单,0,2021-03-04 11:47:03,限价单(增强),当日有效,允许
卖出,01810.HK,小米集团-W,25.50,"2,400",全部成交,"2,400",2021-03-04 11:34:34,,,
